epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,552.824,1.0881,0.58753,0.0049,0.96667,0.98469,0.99359,0.76324,0.84579,0.26779,0.00483,0.000863875,0.000863875,0.000863875
112,557.687,1.12441,0.62842,0.00499,0.95256,0.97055,0.98791,0.75593,0.8756,0.29185,0.00499,0.000862637,0.000862637,0.000862637
113,562.552,1.11519,0.57582,0.00492,0.93478,0.97301,0.99195,0.76217,0.85791,0.28508,0.00491,0.0008614,0.0008614,0.0008614
114,567.425,1.11427,0.57034,0.00499,0.97484,0.96403,0.99136,0.76474,0.83902,0.27723,0.00483,0.000860163,0.000860163,0.000860163
115,572.297,1.09906,0.58049,0.00487,0.96214,0.97363,0.99207,0.76609,0.84305,0.28434,0.00487,0.000858925,0.000858925,0.000858925
116,577.213,1.0954,0.56708,0.00496,0.97787,0.96476,0.9938,0.75687,0.91112,0.27801,0.00519,0.000857687,0.000857687,0.000857687
117,582.108,1.09593,0.56076,0.00495,0.96639,0.97095,0.99224,0.76784,0.85733,0.28232,0.00487,0.00085645,0.00085645,0.00085645
118,587.049,1.11834,0.57534,0.00511,0.94734,0.99318,0.99155,0.76318,0.86655,0.28659,0.00484,0.000855213,0.000855213,0.000855213
119,591.951,1.14229,0.57151,0.00512,0.97217,0.98255,0.99336,0.76632,0.89051,0.27959,0.00507,0.000853975,0.000853975,0.000853975
120,596.849,1.10598,0.57746,0.00494,0.97052,0.97059,0.99127,0.76324,0.88034,0.28724,0.00512,0.000852738,0.000852738,0.000852738
121,601.739,1.09394,0.55457,0.00492,0.97352,0.98113,0.99377,0.76525,0.87209,0.27706,0.00493,0.0008515,0.0008515,0.0008515
122,606.609,1.08506,0.55845,0.00494,0.98615,0.95808,0.99324,0.75522,0.88316,0.29217,0.00505,0.000850263,0.000850263,0.000850263
123,611.624,1.09165,0.55809,0.00491,0.9816,0.96905,0.99353,0.75815,0.87488,0.27518,0.00494,0.000849025,0.000849025,0.000849025
124,616.506,1.07217,0.54839,0.00481,0.96564,0.96795,0.993,0.76812,0.83973,0.27515,0.00484,0.000847787,0.000847787,0.000847787
125,621.436,1.09538,0.56726,0.00486,0.96429,0.97885,0.99307,0.76973,0.82191,0.27788,0.00463,0.00084655,0.00084655,0.00084655
126,626.369,1.12625,0.57834,0.00504,0.97251,0.99058,0.99337,0.75511,0.86098,0.27259,0.00495,0.000845313,0.000845313,0.000845313
127,631.261,1.06247,0.53261,0.00475,0.96753,0.98393,0.99125,0.76215,0.85186,0.27627,0.00486,0.000844075,0.000844075,0.000844075
128,636.181,1.09446,0.56692,0.00483,0.9882,0.98052,0.99413,0.77537,0.84097,0.24472,0.00479,0.000842837,0.000842837,0.000842837
129,641.148,1.06872,0.54567,0.0048,0.98932,0.96828,0.994,0.76391,0.84139,0.25264,0.00471,0.0008416,0.0008416,0.0008416
130,646.076,1.10267,0.55944,0.00493,0.97158,0.9708,0.9901,0.76684,0.82655,0.28762,0.00477,0.000840363,0.000840363,0.000840363
131,650.995,1.08242,0.54472,0.0049,0.97504,0.97304,0.99336,0.75703,0.86641,0.27276,0.00494,0.000839125,0.000839125,0.000839125
132,655.878,1.08738,0.53496,0.00486,0.96271,0.97587,0.99341,0.77817,0.81412,0.27797,0.00464,0.000837887,0.000837887,0.000837887
133,660.819,1.06771,0.55652,0.00483,0.96082,0.96119,0.99026,0.75595,0.88693,0.30786,0.00509,0.00083665,0.00083665,0.00083665
134,665.687,1.0922,0.54657,0.00504,0.9616,0.95433,0.98809,0.76677,0.8487,0.32467,0.00486,0.000835413,0.000835413,0.000835413
135,670.541,1.09112,0.56741,0.0049,0.9595,0.95237,0.98514,0.75983,0.83407,0.31264,0.00481,0.000834175,0.000834175,0.000834175
136,675.43,1.08196,0.54653,0.00486,0.97576,0.97424,0.99388,0.76639,0.85702,0.27457,0.0049,0.000832938,0.000832938,0.000832938
137,680.457,1.09471,0.56408,0.00493,0.98443,0.97704,0.99388,0.76058,0.87034,0.27102,0.00496,0.0008317,0.0008317,0.0008317
138,685.458,1.07077,0.5511,0.00479,0.95067,0.97836,0.99208,0.76935,0.82014,0.28687,0.00468,0.000830462,0.000830462,0.000830462
139,690.494,1.05984,0.52594,0.00474,0.94483,0.99013,0.99248,0.76259,0.84487,0.27525,0.00475,0.000829225,0.000829225,0.000829225
140,695.477,1.0949,0.5664,0.00476,0.99108,0.95173,0.9933,0.76696,0.84081,0.2678,0.00489,0.000827988,0.000827988,0.000827988
141,700.47,1.07622,0.54184,0.00489,0.98492,0.97243,0.99415,0.77844,0.81021,0.26039,0.00457,0.00082675,0.00082675,0.00082675
